,threads,blocks,omp_threads,total_time,gpu_time,cuda search,tree_creation,tree_linearization
0,256,390626,1,32.431000,0.067203,1.854500,29.295000,1.723000
1,256,390626,4,31.768250,0.067039,1.235625,29.239750,1.103625
2,256,390626,8,31.774600,0.067092,1.073800,29.411600,0.945200
3,256,390626,16,31.817000,0.066954,1.014400,29.521400,0.884800
4,512,195313,1,32.304250,0.066932,1.779000,29.233250,1.652250
5,512,195313,4,31.936200,0.067475,1.172800,29.469600,1.046600
6,512,195313,8,31.654500,0.067291,1.042750,29.321750,0.917250
7,512,195313,16,31.780200,0.067570,1.037400,29.424800,0.900800
8,1024,97657,1,32.525500,0.067156,1.775000,29.449500,1.650750
9,1024,97657,4,31.929750,0.067897,1.200500,29.430000,1.071750
10,1024,97657,8,31.844400,0.067551,1.064600,29.490800,0.938200
11,1024,97657,16,31.679750,0.067444,1.016250,29.373750,0.887750
