,threads,blocks,omp_threads,total_time,gpu_time,cuda search,tree_creation,tree_linearization
0,256,390626,1,32.069,0.066638,1.777,28.795,1.645
1,256,390626,4,30.816,0.066064,1.14,28.374,1.012
2,256,390626,8,31.096,0.066292,1.036,28.807,0.915
3,256,390626,16,30.899,0.066286,0.973,28.664,0.852
4,512,195313,1,31.834,0.06652,1.764,28.795,1.643
5,512,195313,4,31.295,0.066618,1.163,28.866,1.034
6,512,195313,8,31.037,0.066789,1.025,28.728,0.902
7,512,195313,16,31.022,0.066925,0.965,28.799,0.842
8,1024,97657,1,31.872,0.066266,1.76,28.847,1.635
9,1024,97657,4,31.211,0.066956,1.157,28.796,1.03
10,1024,97657,8,31.05,0.067118,1.004,28.72,0.88
11,1024,97657,16,31.278,0.066253,1.002,29.004,0.875
