,processes,omp_threads,total time,comm time,binary search,tree creation,tree linearization
0,1,1,36.780600,0.158776,0.046189,34.105207,1.519354
1,1,4,36.281487,0.164047,0.039217,34.285393,0.822457
2,1,8,36.094799,0.163521,0.040105,34.296274,0.656651
3,1,16,35.914738,0.152586,0.040535,34.187158,0.599670
4,2,1,36.831489,0.176264,0.036934,34.108956,1.522129
5,2,4,36.460294,0.185070,0.038122,34.419843,0.842671
6,2,8,36.063895,0.188415,0.036620,34.217359,0.654376
7,2,16,36.091108,0.178186,0.037046,34.325228,0.588681
8,4,1,36.630808,0.193080,0.033922,33.932245,1.506372
9,4,4,36.780165,0.202530,0.034823,34.703689,0.848081
10,4,8,36.050145,0.199081,0.034905,34.190132,0.665427
11,4,16,35.883805,0.195496,0.035561,34.073599,0.587913
12,6,1,36.886133,0.203353,0.035519,34.184178,1.499126
13,6,4,36.924036,0.223466,0.038670,34.856783,0.828898
14,6,8,36.138268,0.209685,0.035025,34.300037,0.651106
15,6,16,35.710162,0.215556,0.034791,33.932828,0.600937
16,8,1,36.853213,0.204721,0.032076,34.109763,1.545398
17,8,4,36.522269,0.214294,0.033213,34.501081,0.819794
18,8,8,36.548798,0.220071,0.033610,34.681139,0.658617
19,8,16,36.065825,0.215333,0.032171,34.292643,0.587326
