,processes,omp_threads,total time,comm time,binary search,tree creation,tree linearization
0,1,1,36.054306,0.145662,0.03749,33.438707,1.495134
1,1,4,35.411167,0.153539,0.037872,33.497412,0.787664
2,1,8,35.276786,0.152383,0.038691,33.532596,0.648502
3,1,16,35.1372,0.145702,0.038748,33.4521,0.569908
4,2,1,35.977254,0.166327,0.035044,33.371478,1.465571
5,2,4,35.584355,0.168677,0.035556,33.670069,0.791618
6,2,8,35.450487,0.167626,0.034335,33.688077,0.633774
7,2,16,35.413359,0.166625,0.035148,33.703683,0.571306
8,4,1,35.829492,0.18798,0.033328,33.069731,1.484814
9,4,4,35.581389,0.188046,0.033529,33.631935,0.793709
10,4,8,35.18479,0.186853,0.033303,33.331686,0.645354
11,4,16,34.958369,0.186054,0.033078,33.245653,0.576913
12,6,1,35.769855,0.19749,0.035134,33.146595,1.473616
13,6,4,35.914099,0.206488,0.034374,33.921739,0.791861
14,6,8,35.419014,0.196673,0.034527,33.605263,0.612707
15,6,16,35.223714,0.203247,0.034077,33.474032,0.585226
16,8,1,36.376548,0.201473,0.031259,33.760254,1.469313
17,8,4,35.722973,0.207065,0.031647,33.738609,0.803616
18,8,8,35.674732,0.203019,0.032027,33.832666,0.64709
19,8,16,35.488591,0.200505,0.031421,33.695799,0.567812
