,processes,omp_threads,total time,comm time,binary search,tree creation,tree linearization
0,1,1,36.038980,0.168278,0.000002,33.463372,1.486196
1,1,4,36.052466,0.175738,0.000004,34.104249,0.817946
2,1,8,36.251000,0.176972,0.000003,34.459061,0.654827
3,1,16,35.780802,0.163341,0.000002,34.073904,0.602123
4,2,1,36.860261,0.175921,0.000003,34.197302,1.504589
5,2,4,36.285192,0.174301,0.000003,34.374833,0.801505
6,2,8,36.322513,0.196442,0.000002,34.503142,0.661235
7,2,16,36.209499,0.182822,0.000002,34.436951,0.605160
8,4,1,37.147999,0.187813,0.000003,34.497356,1.500517
9,4,4,36.523619,0.191444,0.000003,34.526776,0.830153
10,4,8,35.951069,0.184475,0.000003,34.171996,0.643710
11,4,16,35.707440,0.185972,0.000003,33.975885,0.610308
12,6,1,36.996140,0.202526,0.000002,34.278892,1.533636
13,6,4,36.397097,0.201124,0.000002,34.389085,0.820571
14,6,8,36.322601,0.198196,0.000003,34.488173,0.667625
15,6,16,35.892163,0.191072,0.000002,34.156899,0.604333
16,8,1,36.876182,0.200130,0.000003,34.225793,1.497902
17,8,4,36.648012,0.205562,0.000002,34.654076,0.825587
18,8,8,36.224873,0.200897,0.000002,34.370698,0.669563
19,8,16,35.658590,0.201250,0.000002,33.937629,0.596853
