,processes,omp_threads,total time,comm time,binary search,tree creation,tree linearization
0,1,1,35.73727,0.159923,1e-06,33.194491,1.470769
1,1,4,35.796592,0.155476,2e-06,33.872923,0.806541
2,1,8,35.333868,0.169986,1e-06,33.600848,0.609898
3,1,16,34.975948,0.148425,1e-06,33.350989,0.563593
4,2,1,35.927777,0.168508,1e-06,33.354459,1.459104
5,2,4,35.13305,0.163908,1e-06,33.293369,0.780395
6,2,8,35.57784,0.169965,1e-06,33.788372,0.634726
7,2,16,35.291469,0.172764,1e-06,33.633087,0.559978
8,4,1,35.754179,0.179406,2e-06,33.188032,1.464839
9,4,4,35.400305,0.181161,2e-06,33.508676,0.79539
10,4,8,35.363931,0.180219,1e-06,33.614689,0.611939
11,4,16,35.199211,0.182453,1e-06,33.523072,0.571057
12,6,1,35.761013,0.190043,1e-06,33.172286,1.4857
13,6,4,35.279108,0.193176,2e-06,33.322918,0.809952
14,6,8,35.357689,0.192778,2e-06,33.536203,0.640235
15,6,16,34.688786,0.190576,1e-06,33.010691,0.583743
16,8,1,36.319304,0.193545,2e-06,33.725339,1.4769
17,8,4,35.77403,0.194987,1e-06,33.836512,0.796907
18,8,8,35.253493,0.194076,1e-06,33.505505,0.644251
19,8,16,35.149157,0.192982,1e-06,33.401324,0.576572
