processes,omp_threads,total time,comm time,binary search,tree creation,tree linearization
1,1,37.732030,0.156947,0.076751,34.935145,1.537666
2,1,37.605736,0.173259,0.035745,34.846417,1.524918
4,1,37.392521,0.191498,0.034637,34.654194,1.508084
6,1,37.563563,0.204101,0.035134,34.812967,1.517701
8,1,37.955496,0.201473,0.032851,34.887584,1.747932
1,4,35.800324,0.159925,0.039057,33.806906,0.837952
2,4,36.661361,0.191415,0.035556,34.613607,0.812652
4,4,36.791225,0.190746,0.033529,34.835600,0.794138
6,4,35.914099,0.239970,0.034919,33.921739,0.798279
8,4,36.511353,0.207967,0.032790,34.470065,0.822823
1,8,35.276786,0.152383,0.042285,33.532596,0.648502
2,8,35.450487,0.173831,0.036285,33.688077,0.635582
4,8,35.184790,0.197257,0.035401,33.331686,0.653563
6,8,35.668310,0.196673,0.034527,33.872764,0.632731
8,8,36.144203,0.203019,0.032147,34.344897,0.647090
1,16,35.600304,0.145702,0.041567,33.932724,0.569908
2,16,35.682559,0.166625,0.036613,33.972304,0.590793
4,16,34.958369,0.186054,0.033740,33.245653,0.576913
6,16,35.864926,0.203247,0.034230,34.130779,0.585942
8,16,36.254748,0.213901,0.032096,34.487506,0.592574
1,1,37.119911,0.174511,0.039426,34.414279,1.551542
2,1,36.230364,0.173275,0.037079,33.639163,1.465571
4,1,35.829492,0.191822,0.034349,33.069731,1.529903
6,1,37.447452,0.204320,0.035641,34.693598,1.509571
8,1,36.376548,0.201879,0.031259,33.760254,1.475388
1,4,36.140309,0.157140,0.041386,34.257454,0.787664
2,4,35.584355,0.168677,0.039080,33.670069,0.791618
4,4,35.952028,0.188046,0.033567,33.919553,0.814107
6,4,37.053920,0.224597,0.044119,34.937683,0.855643
8,4,36.405766,0.207065,0.031647,34.448483,0.803616
1,8,35.543966,0.159227,0.038769,33.774226,0.650185
2,8,35.574340,0.167626,0.037247,33.816679,0.633774
4,8,35.281120,0.186853,0.033303,33.494368,0.645354
6,8,35.477099,0.215037,0.035152,33.605263,0.664262
8,8,38.078987,0.243279,0.032183,36.131812,0.673222
1,16,36.693932,0.162549,0.042515,34.958851,0.590498
2,16,36.474739,0.182932,0.037688,34.735149,0.571306
4,16,36.115910,0.198725,0.040944,34.290561,0.599909
6,16,36.280176,0.208517,0.035562,34.461665,0.646912
8,16,37.315739,0.216359,0.033490,35.530519,0.585665
1,1,36.415828,0.160517,0.038312,33.790171,1.495134
2,1,37.844939,0.176004,0.037265,35.096653,1.526504
4,1,36.616932,0.188702,0.033572,33.925583,1.504009
6,1,36.763662,0.207500,0.035871,34.083554,1.495618
8,1,36.663114,0.208297,0.032042,34.006411,1.488957
1,4,37.314198,0.164073,0.037872,35.283060,0.837842
2,4,37.321307,0.194770,0.035968,35.241253,0.856100
4,4,37.187218,0.212593,0.037236,34.933788,0.931881
6,4,38.158414,0.212816,0.039353,36.008635,0.866256
8,4,36.778754,0.225055,0.035593,34.750699,0.821474
1,8,36.701200,0.182618,0.041601,34.900825,0.652878
