processes,omp_threads,total time,comm time,binary search,tree creation,tree linearization
1,1,37.356775,0.298837,0.000001,34.507073,1.556477
2,1,37.615388,0.177584,0.000004,34.755460,1.567106
4,1,37.691149,0.194263,0.000003,34.929932,1.535438
6,1,37.531367,0.196977,0.000002,34.827712,1.508599
8,1,37.363796,0.200494,0.000003,34.669976,1.508293
1,4,35.974724,0.155476,0.000004,34.066015,0.823770
2,4,36.846520,0.172511,0.000003,34.923473,0.805413
4,4,36.528392,0.186474,0.000003,34.561829,0.818961
6,4,36.255419,0.206759,0.000003,34.267652,0.809952
8,4,36.918013,0.216789,0.000003,34.929161,0.828571
1,8,35.810925,0.171981,0.000004,34.112156,0.609898
2,8,35.809849,0.171382,0.000003,34.046141,0.666433
4,8,35.539838,0.180219,0.000002,33.823619,0.611939
6,8,35.357689,0.195536,0.000002,33.536203,0.654035
8,8,35.744048,0.195099,0.000002,33.905628,0.656311
1,16,35.178683,0.156236,0.000003,33.475646,0.603012
2,16,35.711888,0.172764,0.000003,34.024133,0.603997
4,16,35.199211,0.184088,0.000003,33.523072,0.587513
6,16,34.688786,0.190845,0.000002,33.010691,0.583743
8,16,35.917608,0.192982,0.000002,34.207487,0.599010
1,1,36.385820,0.179745,0.000002,33.773506,1.503207
2,1,37.041609,0.174092,0.000003,34.489858,1.459104
4,1,35.890529,0.179406,0.000004,33.255865,1.482630
6,1,37.425664,0.196830,0.000002,34.702796,1.510982
8,1,37.130861,0.193545,0.000003,34.463918,1.502566
1,4,36.263308,0.162587,0.000003,34.280027,0.819615
2,4,35.133050,0.163908,0.000003,33.293369,0.780395
4,4,35.400305,0.181161,0.000002,33.508676,0.795390
6,4,36.476059,0.204431,0.000002,34.384844,0.830419
8,4,36.453381,0.194987,0.000002,34.533365,0.796907
1,8,36.208928,0.170352,0.000004,34.469300,0.643075
2,8,35.900974,0.169965,0.000001,34.157304,0.642013
4,8,35.946252,0.182225,0.000003,34.188094,0.643879
6,8,35.542118,0.205337,0.000003,33.766499,0.640235
8,8,37.762029,0.253726,0.000003,35.773762,0.710849
1,16,36.796197,0.188162,0.000003,35.044551,0.624915
2,16,36.781779,0.200225,0.000001,34.955503,0.633357
4,16,35.819394,0.182453,0.000003,34.053658,0.644178
6,16,36.580799,0.192220,0.000002,34.742259,0.625508
8,16,36.385869,0.197629,0.000002,34.699946,0.576572
1,1,35.937284,0.159923,0.000003,33.371057,1.485940
2,1,37.513946,0.187573,0.000003,34.781673,1.534860
4,1,37.713891,0.188147,0.000003,35.055612,1.523186
6,1,37.060266,0.225726,0.000001,34.364095,1.528020
8,1,36.690769,0.211286,0.000002,34.043938,1.503848
1,4,35.935075,0.170409,0.000004,34.021370,0.806541
2,4,37.075779,0.182096,0.000003,35.135977,0.816718
4,4,37.620536,0.192286,0.000003,35.593171,0.830747
6,4,37.577803,0.200131,0.000002,35.580926,0.821458
8,4,37.027145,0.201049,0.000003,34.998560,0.822568
1,8,36.862911,0.192056,0.000001,34.933961,0.702015
2,8,37.085764,0.187436,0.000001,35.219981,0.676368
4,8,36.954254,0.191368,0.000004,35.061582,0.676643
6,8,37.015497,0.197173,0.000003,35.145163,0.674134
8,8,36.867983,0.208335,0.000002,35.005124,0.695074
1,16,34.975948,0.148425,0.000004,33.350989,0.563593
2,16,36.212782,0.187763,0.000003,34.370898,0.624698
4,16,35.259874,0.188538,0.000004,33.586455,0.577975
6,16,36.830577,0.190576,0.000003,35.115627,0.603436
8,16,35.149157,0.197485,0.000003,33.401324,0.632514
1,1,35.737270,0.160975,0.000001,33.194491,1.470769
2,1,35.927777,0.168508,0.000001,33.354459,1.476535
4,1,35.754179,0.181551,0.000002,33.188032,1.464839
6,1,35.761013,0.190043,0.000003,33.172286,1.485700
8,1,36.319304,0.195197,0.000003,33.725339,1.476900
1,4,35.796592,0.189431,0.000002,33.872923,0.808395
2,4,35.596630,0.174492,0.000003,33.695958,0.799024
4,4,35.490734,0.184202,0.000003,33.583091,0.800698
6,4,35.279108,0.193176,0.000002,33.322918,0.820455
8,4,35.774030,0.195202,0.000002,33.836512,0.805684
1,8,35.333868,0.169986,0.000003,33.600848,0.650977
2,8,35.577840,0.222279,0.000003,33.788372,0.634726
4,8,35.363931,0.184089,0.000003,33.614689,0.642380
6,8,35.438470,0.192778,0.000002,33.668336,0.652178
8,8,35.253493,0.194076,0.000003,33.505505,0.644251
1,16,35.156700,0.174021,0.000001,33.448390,0.613423
2,16,35.291469,0.176578,0.000004,33.633087,0.559978
4,16,35.499696,0.186405,0.000003,33.813686,0.571057
