,threads,blocks,omp_threads,total_time,gpu_time,cuda search,tree_creation,tree_linearization
0,256,40,1,0.123596,0.000590,0.118553,0.005021,0.000106
1,256,40,4,0.123208,0.000514,0.118188,0.005021,0.000812
2,256,40,8,0.119854,0.000493,0.114792,0.005000,0.000500
3,256,40,16,0.120604,0.000482,0.115521,0.005062,0.000667
4,512,20,1,0.122312,0.000571,0.117188,0.005062,0.000167
5,512,20,4,0.122122,0.000511,0.117061,0.005020,0.000735
6,512,20,8,0.119250,0.000487,0.114208,0.005021,0.000729
7,512,20,16,0.120458,0.000505,0.115354,0.005083,0.000604
8,1024,10,1,0.123277,0.000566,0.118106,0.005170,0.000128
9,1024,10,4,0.122857,0.000517,0.117837,0.005020,0.000673
10,1024,10,8,0.119511,0.000504,0.114447,0.005043,0.000766
11,1024,10,16,0.119184,0.000507,0.114102,0.005020,0.000816
