,threads,blocks,omp_threads,total_time,gpu_time,cuda search,tree_creation,tree_linearization
0,256,391,1,0.181,0.000648,0.112,0.066,0.003
1,256,391,4,0.182,0.000517,0.112,0.066,0.001
2,256,391,8,0.177,0.000518,0.107,0.067,0.001
3,256,391,16,0.177,0.000526,0.109,0.064,0.001
4,512,196,1,0.177,0.000595,0.11,0.065,0.002
5,512,196,4,0.178,0.000523,0.11,0.066,0.001
6,512,196,8,0.176,0.000542,0.108,0.066,0.001
7,512,196,16,0.177,0.000564,0.11,0.065,0.001
8,1024,98,1,0.179,0.000527,0.11,0.066,0.002
9,1024,98,4,0.179,0.000531,0.11,0.066,0.001
10,1024,98,8,0.177,0.000542,0.108,0.066,0.001
11,1024,98,16,0.176,0.00054,0.109,0.065,0.001
