,processes,omp_threads,total time,comm time,binary search,tree creation,tree linearization
0,1,1,1.305936,0.001253,0.025298,1.147335,0.08483
1,1,4,1.255955,0.001222,0.025164,1.151816,0.031545
2,1,8,1.245967,0.001229,0.025238,1.149359,0.022939
3,1,16,1.252443,0.001256,0.025271,1.155421,0.022842
4,2,1,1.314629,0.002216,0.029627,1.148709,0.08451
5,2,4,1.265835,0.002383,0.031137,1.154299,0.031404
6,2,8,1.257536,0.002225,0.030289,1.153757,0.022912
7,2,16,1.251524,0.002227,0.030048,1.149723,0.022135
8,4,1,1.323225,0.003403,0.036059,1.151325,0.085073
9,4,4,1.265177,0.003783,0.034649,1.147832,0.03155
10,4,8,1.267258,0.003782,0.036293,1.156876,0.022898
11,4,16,1.260829,0.00387,0.033679,1.151363,0.022634
12,6,1,1.326804,0.004755,0.032263,1.155251,0.084994
13,6,4,1.277252,0.004963,0.031239,1.156982,0.031587
14,6,8,1.264781,0.005617,0.03192,1.153851,0.022854
15,6,16,1.262035,0.004716,0.032598,1.149479,0.022042
16,8,1,1.344817,0.010962,0.037002,1.152235,0.084608
17,8,4,1.286267,0.010451,0.03651,1.155691,0.031737
18,8,8,1.277235,0.011354,0.03893,1.153588,0.023018
19,8,16,1.283692,0.012271,0.03686,1.157998,0.023001
