,threads,blocks,omp_threads,total_time,gpu_time,cuda search,tree_creation,tree_linearization
0,256,40,1,0.122489,0.000589,0.118400,0.004067,0.000067
1,256,40,4,0.123979,0.000538,0.119812,0.004146,0.000771
2,256,40,8,0.120571,0.000515,0.116449,0.004061,0.000673
3,256,40,16,0.121156,0.000513,0.117022,0.004089,0.000867
4,512,20,1,0.124422,0.000579,0.120222,0.004089,0.000089
5,512,20,4,0.122933,0.000519,0.118800,0.004044,0.000644
6,512,20,8,0.121458,0.000505,0.117375,0.004062,0.000792
7,512,20,16,0.122667,0.000493,0.118511,0.004089,0.000867
8,1024,10,1,0.124000,0.000560,0.119841,0.004136,0.000273
9,1024,10,4,0.123327,0.000539,0.119204,0.004122,0.000816
10,1024,10,8,0.121935,0.000510,0.117783,0.004065,0.000717
11,1024,10,16,0.121870,0.000518,0.117652,0.004152,0.000848
