,threads,blocks,omp_threads,total_time,gpu_time,cuda search,tree_creation,tree_linearization
0,256,391,1,0.168,0.000567,0.11,0.055,0.002
1,256,391,4,0.168,0.000509,0.111,0.055,0.001
2,256,391,8,0.165,0.000534,0.108,0.055,0.001
3,256,391,16,0.167,0.000506,0.111,0.054,0.001
4,512,196,1,0.169,0.000592,0.112,0.054,0.002
5,512,196,4,0.17,0.000532,0.113,0.055,0.001
6,512,196,8,0.165,0.000513,0.109,0.055,0.001
7,512,196,16,0.167,0.000544,0.111,0.053,0.001
8,1024,98,1,0.171,0.000606,0.113,0.055,0.002
9,1024,98,4,0.171,0.000512,0.111,0.055,0.001
10,1024,98,8,0.164,0.000512,0.107,0.055,0.001
11,1024,98,16,0.167,0.000541,0.111,0.053,0.001
