,threads,blocks,omp_threads,total_time,gpu_time,cuda search,tree_creation,tree_linearization
0,256,39063,1,18.939,0.013596,0.853,17.547,0.683
1,256,39063,4,18.382,0.013633,0.457,17.436,0.278
2,256,39063,8,18.32,0.01276,0.375,17.464,0.199
3,256,39063,16,18.333,0.01292,0.354,17.46,0.187
4,512,19532,1,18.853,0.013603,0.895,17.459,0.709
5,512,19532,4,18.517,0.013657,0.439,17.504,0.259
6,512,19532,8,18.29,0.013376,0.365,17.408,0.196
7,512,19532,16,18.393,0.012544,0.347,17.546,0.181
8,1024,9766,1,18.989,0.013637,0.888,17.571,0.709
9,1024,9766,4,18.329,0.013765,0.432,17.41,0.26
10,1024,9766,8,18.497,0.012458,0.38,17.586,0.211
11,1024,9766,16,18.213,0.013159,0.348,17.368,0.17
