,processes,omp_threads,total time,comm time,binary search,tree creation,tree linearization
0,1,1,21.466243,0.014277,0.037737,20.251933,0.750339
1,1,4,21.003541,0.014172,0.033638,20.264231,0.276323
2,1,8,21.352127,0.014407,0.033567,20.654687,0.207263
3,1,16,21.296103,0.014382,0.033953,20.588347,0.199749
4,2,1,21.444556,0.018249,0.040167,20.206046,0.741729
5,2,4,20.818862,0.017847,0.040656,20.063681,0.276915
6,2,8,20.788194,0.017641,0.039417,20.100274,0.205156
7,2,16,20.597757,0.017914,0.040991,19.936366,0.189076
8,4,1,21.30715,0.022615,0.043223,20.06201,0.746527
9,4,4,20.933469,0.021895,0.040162,20.171322,0.277181
10,4,8,20.790709,0.022482,0.03193,20.095803,0.201481
11,4,16,20.527137,0.022177,0.041296,19.850534,0.191369
12,8,1,21.469263,0.034655,0.036044,20.221455,0.744167
13,8,4,21.036242,0.028649,0.034565,20.252414,0.276695
14,8,8,21.215183,0.031186,0.035796,20.460323,0.213848
15,8,16,20.929899,0.032402,0.042716,20.214212,0.196976
16,16,1,21.705793,0.067293,0.033111,20.418647,0.750928
17,16,4,20.868876,0.075329,0.034456,20.061544,0.276176
18,16,8,21.130702,0.068645,0.033746,20.378817,0.201928
19,16,16,20.934663,0.075441,0.032382,20.207541,0.181629
